Code;System;Description;Severity;Common Causes;Vehicle Type
=== POWERTRAIN (P CODES) - P0xxx Generic ===;;;;;
P0001;Fuel/Air;Fuel Volume Regulator Control Circuit/Open;Medium;Wiring, fuel pump, ECU;Diesel/Gasoline
P0002;Fuel/Air;Fuel Volume Regulator Control Circuit Range/Performance;Medium;Fuel pressure sensor, regulator;Diesel/Gasoline
P0003;Fuel/Air;Fuel Volume Regulator Control Circuit Low;Medium;Short to ground, regulator fault;Diesel/Gasoline
P0004;Fuel/Air;Fuel Volume Regulator Control Circuit High;Medium;Short to voltage, wiring;Diesel/Gasoline
P0005;Fuel/Air;Fuel Shutoff Valve A Control Circuit/Open;Medium;Wiring, solenoid valve;Diesel
P0010;Engine;Intake Camshaft Position Actuator Circuit (Bank 1);Medium;VVT solenoid, wiring, oil pressure;Gasoline
P0011;Engine;Intake Camshaft Position Timing Over-Advanced (Bank 1);Medium;VVT solenoid, timing chain, oil;Gasoline
P0012;Engine;Intake Camshaft Position Timing Over-Retarded (Bank 1);Medium;VVT solenoid, timing chain, oil;Gasoline
P0013;Engine;Exhaust Camshaft Position Actuator Circuit (Bank 1);Medium;VVT solenoid, wiring;Gasoline
P0014;Engine;Exhaust Camshaft Position Timing Over-Advanced (Bank 1);Medium;VVT solenoid, timing chain;Gasoline
P0015;Engine;Exhaust Camshaft Position Timing Over-Retarded (Bank 1);Medium;VVT solenoid, timing issue;Gasoline
P0016;Engine;Crankshaft Position Camshaft Position Correlation (Bank 1 Sensor A);High;Timing chain, sensors, oil;Gasoline
P0017;Engine;Crankshaft Position Camshaft Position Correlation (Bank 1 Sensor B);High;Timing chain, sensors;Gasoline
P0020;Engine;Intake Camshaft Position Actuator Circuit (Bank 2);Medium;VVT solenoid, wiring;Gasoline
P0021;Engine;Intake Camshaft Position Timing Over-Advanced (Bank 2);Medium;VVT solenoid, timing;Gasoline
P0030;Emissions;HO2S Heater Control Circuit (Bank 1 Sensor 1);Medium;O2 sensor heater, wiring, fuse;Gasoline/LPG
P0031;Emissions;HO2S Heater Control Circuit Low (Bank 1 Sensor 1);Medium;O2 sensor, wiring short;Gasoline/LPG
P0032;Emissions;HO2S Heater Control Circuit High (Bank 1 Sensor 1);Medium;O2 sensor, wiring;Gasoline/LPG
P0036;Emissions;HO2S Heater Control Circuit (Bank 1 Sensor 2);Medium;O2 sensor heater, wiring;Gasoline/LPG
P0037;Emissions;HO2S Heater Control Circuit Low (Bank 1 Sensor 2);Medium;O2 sensor, wiring;Gasoline/LPG
P0038;Emissions;HO2S Heater Control Circuit High (Bank 1 Sensor 2);Medium;O2 sensor, wiring;Gasoline/LPG
P0068;Fuel/Air;MAP/MAF - Throttle Position Correlation;Medium;MAF sensor, throttle body, vacuum leak;All
P0087;Fuel/Air;Fuel Rail/System Pressure Too Low;High;Fuel pump, filter, pressure regulator;Diesel/Gasoline
P0088;Fuel/Air;Fuel Rail/System Pressure Too High;High;Fuel pressure regulator, pump;Diesel/Gasoline
P0089;Fuel/Air;Fuel Pressure Regulator Performance;Medium;Fuel pressure regulator, wiring;Diesel/Gasoline
P0100;Fuel/Air;Mass or Volume Air Flow Circuit Malfunction;Medium;MAF sensor, wiring, air leak;All
P0101;Fuel/Air;Mass or Volume Air Flow Circuit Range/Performance;Medium;MAF sensor, air filter, intake leak;All
P0102;Fuel/Air;Mass or Volume Air Flow Circuit Low Input;Medium;MAF sensor, wiring;All
P0103;Fuel/Air;Mass or Volume Air Flow Circuit High Input;Medium;MAF sensor, wiring;All
P0105;Fuel/Air;Manifold Absolute Pressure/Barometric Pressure Circuit Malfunction;Medium;MAP sensor, wiring, vacuum leak;All
P0106;Fuel/Air;Manifold Absolute Pressure/Barometric Pressure Circuit Range/Performance;Medium;MAP sensor, vacuum leak;All
P0107;Fuel/Air;Manifold Absolute Pressure/Barometric Pressure Circuit Low Input;Medium;MAP sensor, wiring;All
P0108;Fuel/Air;Manifold Absolute Pressure/Barometric Pressure Circuit High Input;Medium;MAP sensor, wiring;All
P0110;Fuel/Air;Intake Air Temperature Circuit Malfunction;Low;IAT sensor, wiring;All
P0111;Fuel/Air;Intake Air Temperature Circuit Range/Performance;Low;IAT sensor, connector;All
P0112;Fuel/Air;Intake Air Temperature Circuit Low Input;Low;IAT sensor, wiring short;All
P0113;Fuel/Air;Intake Air Temperature Circuit High Input;Low;IAT sensor, wiring open;All
P0115;Engine;Engine Coolant Temperature Circuit Malfunction;Medium;ECT sensor, wiring;All
P0116;Engine;Engine Coolant Temperature Circuit Range/Performance;Medium;ECT sensor, thermostat;All
P0117;Engine;Engine Coolant Temperature Circuit Low Input;Medium;ECT sensor, wiring;All
P0118;Engine;Engine Coolant Temperature Circuit High Input;Medium;ECT sensor, wiring;All
P0120;Fuel/Air;Throttle/Pedal Position Sensor/Switch A Circuit Malfunction;High;TPS, wiring, throttle body;All
P0121;Fuel/Air;Throttle/Pedal Position Sensor/Switch A Circuit Range/Performance;High;TPS, throttle body cleaning needed;All
P0122;Fuel/Air;Throttle/Pedal Position Sensor/Switch A Circuit Low Input;High;TPS, wiring;All
P0123;Fuel/Air;Throttle/Pedal Position Sensor/Switch A Circuit High Input;High;TPS, wiring;All
P0128;Engine;Coolant Thermostat (Coolant Temperature Below Thermostat Regulating Temperature);Low;Thermostat stuck open, ECT sensor;All
P0130;Emissions;O2 Sensor Circuit Malfunction (Bank 1 Sensor 1);Medium;O2 sensor, wiring;Gasoline/LPG
P0131;Emissions;O2 Sensor Circuit Low Voltage (Bank 1 Sensor 1);Medium;O2 sensor, exhaust leak, fuel mixture;Gasoline/LPG
P0132;Emissions;O2 Sensor Circuit High Voltage (Bank 1 Sensor 1);Medium;O2 sensor, fuel mixture too rich;Gasoline/LPG
P0133;Emissions;O2 Sensor Circuit Slow Response (Bank 1 Sensor 1);Medium;O2 sensor aging, exhaust leak;Gasoline/LPG
P0134;Emissions;O2 Sensor Circuit No Activity Detected (Bank 1 Sensor 1);Medium;O2 sensor, wiring;Gasoline/LPG
P0135;Emissions;O2 Sensor Heater Circuit Malfunction (Bank 1 Sensor 1);Medium;O2 sensor heater, relay, fuse;Gasoline/LPG
P0136;Emissions;O2 Sensor Circuit Malfunction (Bank 1 Sensor 2);Medium;O2 sensor, wiring;Gasoline/LPG
P0137;Emissions;O2 Sensor Circuit Low Voltage (Bank 1 Sensor 2);Medium;O2 sensor, catalyst;Gasoline/LPG
P0138;Emissions;O2 Sensor Circuit High Voltage (Bank 1 Sensor 2);Medium;O2 sensor, catalyst efficiency;Gasoline/LPG
P0139;Emissions;O2 Sensor Circuit Slow Response (Bank 1 Sensor 2);Medium;O2 sensor, catalyst;Gasoline/LPG
P0140;Emissions;O2 Sensor Circuit No Activity Detected (Bank 1 Sensor 2);Medium;O2 sensor, wiring;Gasoline/LPG
P0141;Emissions;O2 Sensor Heater Circuit Malfunction (Bank 1 Sensor 2);Medium;O2 sensor heater, wiring;Gasoline/LPG
P0171;Fuel/Air;System Too Lean (Bank 1);Medium;Vacuum leak, MAF sensor, fuel pump, O2 sensor;Gasoline/LPG
P0172;Fuel/Air;System Too Rich (Bank 1);Medium;MAF sensor, fuel pressure, O2 sensor, air filter;Gasoline/LPG
P0174;Fuel/Air;System Too Lean (Bank 2);Medium;Vacuum leak, MAF sensor, fuel pump;Gasoline/LPG
P0175;Fuel/Air;System Too Rich (Bank 2);Medium;MAF sensor, fuel pressure, O2 sensor;Gasoline/LPG
P0190;Fuel/Air;Fuel Rail Pressure Sensor Circuit Malfunction;Medium;Fuel pressure sensor, wiring;Diesel/Gasoline
P0191;Fuel/Air;Fuel Rail Pressure Sensor Circuit Range/Performance;Medium;Fuel pressure sensor, fuel pump;Diesel/Gasoline
P0192;Fuel/Air;Fuel Rail Pressure Sensor Circuit Low Input;Medium;Fuel pressure sensor, wiring;Diesel/Gasoline
P0193;Fuel/Air;Fuel Rail Pressure Sensor Circuit High Input;Medium;Fuel pressure sensor, wiring;Diesel/Gasoline
P0200;Fuel/Air;Injector Circuit Malfunction;High;Injector, wiring, ECU;All
P0201;Fuel/Air;Injector Circuit Malfunction - Cylinder 1;High;Injector #1, wiring, ECU;All
P0202;Fuel/Air;Injector Circuit Malfunction - Cylinder 2;High;Injector #2, wiring, ECU;All
P0203;Fuel/Air;Injector Circuit Malfunction - Cylinder 3;High;Injector #3, wiring, ECU;All
P0204;Fuel/Air;Injector Circuit Malfunction - Cylinder 4;High;Injector #4, wiring, ECU;All
P0205;Fuel/Air;Injector Circuit Malfunction - Cylinder 5;High;Injector #5, wiring, ECU;All
P0206;Fuel/Air;Injector Circuit Malfunction - Cylinder 6;High;Injector #6, wiring, ECU;All
P0217;Engine;Engine Overtemp Condition;Critical;Coolant level, thermostat, water pump, radiator;All
P0218;Transmission;Transmission Overtemp Condition;High;Transmission fluid, cooler, solenoid;All
P0230;Fuel/Air;Fuel Pump Primary Circuit Malfunction;High;Fuel pump relay, wiring, fuse;All
P0261;Fuel/Air;Cylinder 1 Injector Circuit Low;High;Injector, wiring short to ground;All
P0264;Fuel/Air;Cylinder 2 Injector Circuit Low;High;Injector, wiring short to ground;All
P0267;Fuel/Air;Cylinder 3 Injector Circuit Low;High;Injector, wiring short to ground;All
P0270;Fuel/Air;Cylinder 4 Injector Circuit Low;High;Injector, wiring short to ground;All
P0300;Engine;Random/Multiple Cylinder Misfire Detected;High;Ignition coils, spark plugs, fuel, compression;Gasoline/LPG
P0301;Engine;Cylinder 1 Misfire Detected;High;Spark plug, coil, injector, compression;Gasoline/LPG
P0302;Engine;Cylinder 2 Misfire Detected;High;Spark plug, coil, injector, compression;Gasoline/LPG
P0303;Engine;Cylinder 3 Misfire Detected;High;Spark plug, coil, injector, compression;Gasoline/LPG
P0304;Engine;Cylinder 4 Misfire Detected;High;Spark plug, coil, injector, compression;Gasoline/LPG
P0305;Engine;Cylinder 5 Misfire Detected;High;Spark plug, coil, injector, compression;Gasoline/LPG
P0306;Engine;Cylinder 6 Misfire Detected;High;Spark plug, coil, injector, compression;Gasoline/LPG
P0307;Engine;Cylinder 7 Misfire Detected;High;Spark plug, coil, injector, compression;Gasoline/LPG
P0308;Engine;Cylinder 8 Misfire Detected;High;Spark plug, coil, injector, compression;Gasoline/LPG
P0325;Engine;Knock Sensor 1 Circuit Malfunction (Bank 1);Medium;Knock sensor, wiring, connector;Gasoline/LPG
P0326;Engine;Knock Sensor 1 Circuit Range/Performance (Bank 1);Medium;Knock sensor, ECU;Gasoline/LPG
P0327;Engine;Knock Sensor 1 Circuit Low Input (Bank 1);Medium;Knock sensor, wiring;Gasoline/LPG
P0328;Engine;Knock Sensor 1 Circuit High Input (Bank 1);Medium;Knock sensor, wiring;Gasoline/LPG
P0335;Engine;Crankshaft Position Sensor A Circuit Malfunction;Critical;Crank sensor, wiring, reluctor ring;All
P0336;Engine;Crankshaft Position Sensor A Circuit Range/Performance;Critical;Crank sensor, reluctor ring, air gap;All
P0337;Engine;Crankshaft Position Sensor A Circuit Low Input;Critical;Crank sensor, wiring;All
P0338;Engine;Crankshaft Position Sensor A Circuit High Input;Critical;Crank sensor, wiring;All
P0340;Engine;Camshaft Position Sensor Circuit Malfunction;High;Cam sensor, wiring, timing;All
P0341;Engine;Camshaft Position Sensor Circuit Range/Performance;High;Cam sensor, timing chain/belt;All
P0342;Engine;Camshaft Position Sensor Circuit Low Input;High;Cam sensor, wiring;All
P0343;Engine;Camshaft Position Sensor Circuit High Input;High;Cam sensor, wiring;All
P0351;Ignition;Ignition Coil A Primary/Secondary Circuit Malfunction;High;Ignition coil, wiring, ECU;Gasoline/LPG
P0352;Ignition;Ignition Coil B Primary/Secondary Circuit Malfunction;High;Ignition coil, wiring, ECU;Gasoline/LPG
P0353;Ignition;Ignition Coil C Primary/Secondary Circuit Malfunction;High;Ignition coil, wiring, ECU;Gasoline/LPG
P0354;Ignition;Ignition Coil D Primary/Secondary Circuit Malfunction;High;Ignition coil, wiring, ECU;Gasoline/LPG
P0401;Emissions;Exhaust Gas Recirculation Flow Insufficient Detected;Medium;EGR valve, carbon buildup, vacuum;Diesel/Gasoline
P0402;Emissions;Exhaust Gas Recirculation Flow Excessive Detected;Medium;EGR valve stuck open, sensor;Diesel/Gasoline
P0403;Emissions;Exhaust Gas Recirculation Circuit Malfunction;Medium;EGR valve, wiring, vacuum solenoid;Diesel/Gasoline
P0404;Emissions;Exhaust Gas Recirculation Circuit Range/Performance;Medium;EGR valve, position sensor, carbon;Diesel/Gasoline
P0405;Emissions;Exhaust Gas Recirculation Sensor A Circuit Low;Medium;EGR position sensor, wiring;Diesel/Gasoline
P0406;Emissions;Exhaust Gas Recirculation Sensor A Circuit High;Medium;EGR position sensor, wiring;Diesel/Gasoline
P0420;Emissions;Catalyst System Efficiency Below Threshold (Bank 1);Medium;Catalytic converter, O2 sensors;Gasoline/LPG
P0421;Emissions;Warm Up Catalyst Efficiency Below Threshold (Bank 1);Medium;Catalyst, O2 sensor;Gasoline/LPG
P0430;Emissions;Catalyst System Efficiency Below Threshold (Bank 2);Medium;Catalytic converter, O2 sensors;Gasoline/LPG
P0441;Emissions;Evaporative Emission Control System Incorrect Purge Flow;Low;Purge valve, canister, vacuum leak;Gasoline/LPG
P0442;Emissions;Evaporative Emission Control System Leak Detected (Small Leak);Low;Gas cap, EVAP system leak;Gasoline/LPG
P0443;Emissions;Evaporative Emission Control System Purge Control Valve Circuit Malfunction;Low;Purge valve, wiring;Gasoline/LPG
P0444;Emissions;Evaporative Emission Control System Purge Control Valve Circuit Open;Low;Purge valve, wiring;Gasoline/LPG
P0445;Emissions;Evaporative Emission Control System Purge Control Valve Circuit Shorted;Low;Purge valve, wiring;Gasoline/LPG
P0446;Emissions;Evaporative Emission Control System Vent Control Circuit Malfunction;Low;EVAP vent valve, wiring;Gasoline/LPG
P0455;Emissions;Evaporative Emission Control System Leak Detected (Gross Leak);Low;Gas cap, EVAP lines, canister;Gasoline/LPG
P0456;Emissions;Evaporative Emission Control System Leak Detected (Very Small Leak);Low;Gas cap, EVAP system;Gasoline/LPG
P0460;Fuel/Air;Fuel Level Sensor Circuit Malfunction;Low;Fuel level sender, wiring, gauge;All
P0461;Fuel/Air;Fuel Level Sensor Circuit Range/Performance;Low;Fuel level sender, wiring;All
P0462;Fuel/Air;Fuel Level Sensor Circuit Low Input;Low;Fuel level sender, wiring;All
P0463;Fuel/Air;Fuel Level Sensor Circuit High Input;Low;Fuel level sender, wiring;All
P0500;Transmission;Vehicle Speed Sensor Malfunction;Medium;Speed sensor, wiring, ABS;All
P0501;Transmission;Vehicle Speed Sensor Range/Performance;Medium;Speed sensor, wiring, tire size;All
P0502;Transmission;Vehicle Speed Sensor Circuit Low Input;Medium;Speed sensor, wiring;All
P0503;Transmission;Vehicle Speed Sensor Intermittent/Erratic/High;Medium;Speed sensor, wiring, ABS module;All
P0505;Fuel/Air;Idle Control System Malfunction;Medium;IAC valve, throttle body, vacuum leak;Gasoline/LPG
P0506;Fuel/Air;Idle Control System RPM Lower Than Expected;Medium;IAC valve, vacuum leak, throttle body;Gasoline/LPG
P0507;Fuel/Air;Idle Control System RPM Higher Than Expected;Medium;IAC valve, vacuum leak, throttle body;Gasoline/LPG
P0520;Engine;Engine Oil Pressure Sensor/Switch Circuit Malfunction;Medium;Oil pressure sensor, wiring, oil level;All
P0521;Engine;Engine Oil Pressure Sensor/Switch Range/Performance;Medium;Oil pressure sensor, oil pump;All
P0522;Engine;Engine Oil Pressure Sensor/Switch Low Voltage;High;Oil pressure sensor, wiring, low oil;All
P0523;Engine;Engine Oil Pressure Sensor/Switch High Voltage;Medium;Oil pressure sensor, wiring;All
P0560;Electrical;System Voltage Malfunction;Medium;Battery, alternator, wiring;All
P0561;Electrical;System Voltage Unstable;Medium;Battery, alternator, loose connection;All
P0562;Electrical;System Voltage Low;High;Battery, alternator, belt;All
P0563;Electrical;System Voltage High;Medium;Alternator regulator, ECU;All
P0600;ECU;Serial Communication Link Malfunction;High;ECU, wiring, communication bus;All
P0601;ECU;Internal Control Module Memory Check Sum Error;Critical;ECU failure, reflash needed;All
P0602;ECU;Control Module Programming Error;Critical;ECU programming, reflash needed;All
P0603;ECU;Internal Control Module Keep Alive Memory (KAM) Error;Critical;ECU, battery disconnected;All
P0604;ECU;Internal Control Module Random Access Memory (RAM) Error;Critical;ECU failure;All
P0605;ECU;Internal Control Module Read Only Memory (ROM) Error;Critical;ECU failure;All
P0606;ECU;PCM Processor Fault;Critical;ECU failure, replacement needed;All
P0607;ECU;Control Module Performance;Critical;ECU failure;All
P0700;Transmission;Transmission Control System Malfunction;High;TCM, wiring, transmission;All
P0701;Transmission;Transmission Control System Range/Performance;High;TCM, transmission fluid;All
P0702;Transmission;Transmission Control System Electrical;High;TCM, wiring, solenoids;All
P0703;Transmission;Torque Converter/Brake Switch B Circuit Malfunction;Medium;Brake light switch, wiring;All
P0704;Transmission;Clutch Switch Input Circuit Malfunction;Medium;Clutch switch, wiring;All
P0705;Transmission;Transmission Range Sensor Circuit Malfunction (PRNDL Input);Medium;Shift sensor, wiring, TCM;All
P0710;Transmission;Transmission Fluid Temperature Sensor Circuit Malfunction;Medium;Transmission temp sensor, wiring;All
